id,name,shelf_life,available,last_available,serving_unit,serving_size,protein,carbs,fat,fiber,energy,iron_mg,magnesium_mg,calcium_mg,potassium_mg,sodium_mg,vitamin_c_mg
1,almonds,365,t,2026-09-06 11:52:45.541952,g,100,21.15,21.55,49.93,12.50,579.00,3.70,270.00,263.00,733.00,1.00,0.00
2,apple,28,t,2026-09-04 14:12:05.353015,g,100,0.30,13.80,0.20,2.40,52.00,0.12,5.00,6.00,107.00,1.00,4.60
197,Apple cider vinegar,1825,t,2026-09-04 14:12:06.587089,tbsp,1.0,0.00,0.14,0.00,0.00,3.00,0.03,0.70,1.70,11.00,0.80,0.00
3,artichoke,7,f,2025-07-03 18:23:11.312069,g,100,3.30,10.50,0.20,5.40,47.00,1.30,60.00,44.00,370.00,60.00,11.70
4,asafoetida,365,t,2026-09-04 14:12:11.020082,g,100,9.40,74.10,2.80,5.90,348.00,7.00,20.00,65.00,40.00,0.00,0.00
5,asparagus,4,f,2026-09-04 14:12:09.955904,g,100,2.40,4.10,0.20,1.80,22.00,2.10,14.00,18.00,202.00,14.00,15.60
6,aubergine,7,f,2025-07-03 18:23:11.312069,g,100,1.00,5.90,0.20,3.00,25.00,0.23,14.00,6.00,229.00,2.00,2.20
7,aval,365,f,2025-07-03 18:23:11.312069,g,100,8.90,75.60,1.00,1.50,337.00,6.60,30.00,23.00,120.00,10.00,0.00
8,avocado,10,t,2026-09-04 14:12:12.286713,g,100,2.00,8.50,14.70,6.70,160.00,0.55,29.00,12.00,485.00,7.00,10.00
9,baby spinach,5,f,2025-07-07 12:44:02.098519,g,100,2.90,3.60,0.40,2.20,23.00,2.70,79.00,99.00,558.00,79.00,28.10
194,Bajra,365,f,2025-07-27 16:25:17.771053,g,100,11.60,67.50,4.90,11.30,361.00,8.00,125.00,42.00,370.00,17.00,0.00
10,baked beans,365,f,2025-07-27 18:48:35.082797,g,100,4.75,21.10,0.40,4.10,94.00,1.50,44.00,52.00,304.00,422.00,0.30
11,balsamic vinegar,1825,t,2026-09-04 14:12:21.088229,g,100,0.49,17.03,0.00,0.00,88.00,0.72,12.00,27.00,112.00,23.00,0.00
12,banana,7,f,2026-09-04 14:12:25.64636,g,100,1.10,22.80,0.33,2.60,89.00,0.26,27.00,5.00,358.00,1.00,8.70
200,barnyard millet,365,f,2025-07-30 19:48:32.127709,g,100,11.20,65.50,4.80,10.10,300.00,3.00,90.00,14.00,300.00,5.00,0.00
13,bay leaves,730,t,2026-09-04 14:12:22.886335,nos,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,beans,7,t,2026-09-06 11:53:00.80678,g,100,1.80,7.00,0.20,3.20,31.00,1.04,25.00,37.00,211.00,6.00,12.20
15,berries,4,t,2026-09-04 14:12:27.269447,g,100,0.63,6.03,0.40,3.80,38.60,0.40,13.00,25.00,150.00,1.00,10.00
16,besan flour,180,t,2026-09-06 11:53:52.608608,g,100,22.00,65.00,5.00,11.00,371.00,4.70,166.00,56.00,847.00,64.00,0.00
206,bitter gourd,7,f,2025-08-03 11:41:37.54416,nos,1,1.20,4.40,0.20,3.40,20.00,0.50,20.00,6.00,355.00,6.00,100.00
17,black beans,365,f,2025-07-07 12:44:02.098519,g,100,22.00,62.00,1.40,15.00,341.00,5.00,171.00,123.00,1483.00,5.00,0.00
20,blackberry,3,f,2025-07-07 12:44:02.098519,g,100,1.40,9.60,0.50,5.30,43.00,0.62,20.00,29.00,197.00,1.00,3.20
233,black cardamom,730,t,2026-09-04 14:12:32.102574,g,100,10.80,68.50,6.70,28.00,319.00,14.00,229.00,383.00,1119.00,18.00,0.00
18,black pepper,1095,t,2026-09-04 14:12:30.851817,g,100,10.40,63.95,3.30,25.30,251.00,5.85,171.00,253.00,1329.00,20.00,0.00
19,black salt,1825,t,2026-09-06 11:53:51.376031,g,100,0.00,0.00,0.00,0.00,0.00,2.00,5.00,30.00,5.00,38000.00,0.00
21,blueberries,14,t,2026-09-06 11:53:56.404903,g,100,0.74,14.49,0.33,2.40,57.00,0.28,6.00,6.00,77.00,1.00,9.70
216,brazil nuts,365,f,2025-08-12 16:06:02.162177,g,100,14.32,12.27,67.10,7.50,659.00,2.43,376.00,160.00,659.00,3.00,0.70
22,bread,6,t,2026-09-04 14:12:34.603311,nos,1,4.50,25.00,1.50,1.30,133.00,0.60,6.00,15.00,35.00,145.00,0.00
23,broccoli,5,t,2026-09-06 11:53:59.190601,g,100,2.82,6.64,0.37,2.60,34.00,0.73,21.00,47.00,316.00,33.00,89.20
24,brown lentils,1095,t,2026-09-06 11:54:03.988942,g,100,24.60,63.40,1.10,10.70,352.00,6.50,47.00,56.00,955.00,6.00,4.50
25,brown rice,180,t,2026-09-04 14:12:38.130894,g,100,2.70,25.60,1.00,1.60,123.00,0.56,39.00,3.00,86.00,4.00,0.00
26,brussel sprouts,7,f,2025-07-07 12:44:02.098519,g,100,3.38,8.95,0.30,3.80,43.00,1.38,23.00,42.00,389.00,25.00,85.00
27,butter,60,f,2025-07-07 12:44:02.098519,g,100,0.90,0.10,81.10,0.00,717.00,0.02,2.00,24.00,24.00,643.00,0.00
28,cabbage,45,t,2026-09-04 14:12:39.72065,g,100,1.28,5.80,0.10,2.50,25.00,0.47,12.00,40.00,170.00,18.00,36.60
29,cannellini beans,730,f,2025-07-07 12:44:02.098519,g,100,7.30,10.80,0.50,7.40,92.00,2.50,44.00,62.00,307.00,280.00,0.00
30,capsicum,7,t,2026-09-04 14:12:41.186376,g,100,0.90,4.60,0.20,1.70,20.00,0.34,10.00,10.00,175.00,3.00,80.40
31,cardamom,730,f,2025-07-07 12:44:02.098519,g,100,11.00,68.00,7.00,28.00,311.00,13.97,165.00,383.00,1119.00,18.00,0.00
32,carrot,21,t,2026-09-04 14:12:45.58555,nos,1.0,0.70,7.20,0.20,2.10,31.00,0.23,9.00,25.00,240.00,52.00,4.40
214,cashew nuts,365,t,2026-09-04 14:12:44.510301,g,100,18.22,30.19,43.85,3.30,553.00,6.68,292.00,37.00,660.00,12.00,0.50
34,cauliflower,7,f,2025-07-07 12:44:02.098519,g,100,1.92,4.97,0.28,2.00,25.00,0.42,15.00,22.00,299.00,30.00,48.20
35,celery,21,f,2025-07-07 12:44:02.098519,g,100,0.69,2.97,0.17,1.60,14.00,0.50,11.00,36.00,260.00,80.00,3.10
36,chaat masala,1095,t,2026-09-04 14:12:46.686041,g,100,13.20,32.00,12.00,16.00,289.00,10.00,60.00,150.00,700.00,12000.00,5.00
37,chana masala,730,f,2025-08-02 19:20:42.40832,g,100,4.00,13.00,9.00,2.00,150.00,3.00,30.00,50.00,300.00,1000.00,2.00
38,chapati flour,180,t,2026-09-04 14:12:50.002439,g,100,9.70,78.30,1.40,3.40,351.00,4.40,90.00,35.00,315.00,5.00,0.00
39,cheddar,45,f,2025-07-03 18:23:11.312069,g,100.0,24.90,1.30,33.10,0.00,403.00,0.66,28.00,721.00,98.00,653.00,0.00
40,cheddar cheese,45,f,2025-07-07 12:44:02.098519,g,100,24.90,1.30,33.10,0.00,403.00,0.66,28.00,721.00,98.00,653.00,0.00
227,Cheese,45,f,,g,100,24.90,1.30,33.10,0.00,403.00,0.66,28.00,721.00,98.00,653.00,0.00
41,cherry tomatoes,10,f,2025-07-27 18:49:44.723396,g,100,0.88,3.89,0.20,1.20,18.00,0.27,12.00,10.00,212.00,5.00,13.70
42,chia seeds,730,t,2026-09-06 12:00:24.540174,g,100,16.54,42.12,30.73,34.40,486.00,7.72,335.00,631.00,407.00,16.00,1.60
43,chicken,270,t,2026-09-06 12:00:28.533864,g,100,31.02,0.00,3.60,0.00,165.00,1.00,29.00,15.00,256.00,74.00,0.00
44,chicken breast,270,f,2025-07-03 18:23:11.312069,g,100,31.02,0.00,3.60,0.00,165.00,1.00,29.00,15.00,256.00,74.00,0.00
45,chickpeas,730,f,2025-07-07 12:44:02.098519,g,100,8.86,27.42,2.59,7.60,164.00,2.89,48.00,49.00,291.00,7.00,1.30
46,chilli flakes,730,f,2025-07-07 12:44:02.098519,g,100,12.66,56.78,17.27,27.20,318.00,7.80,59.00,80.00,2014.00,34.00,76.40
47,chilli powder,730,t,2026-09-06 12:01:10.917346,g,100,13.46,49.70,14.31,34.80,282.00,14.31,80.00,330.00,2534.00,683.00,64.20
48,cinnamon,1095,t,2026-09-06 12:01:09.936013,g,100,3.99,80.59,1.24,53.10,247.00,8.32,60.00,1002.00,431.00,10.00,11.30
49,cloves,1095,t,2026-09-06 12:01:12.151201,g,100,5.98,65.53,13.00,33.90,274.00,11.83,259.00,632.00,1020.00,277.00,11.70
50,coconut,7,t,2026-09-06 12:01:15.634179,g,100,3.33,15.23,33.49,9.00,354.00,3.43,32.00,14.00,356.00,20.00,3.30
51,coconut oil,1095,t,2026-09-06 12:01:21.501467,g,100,0.00,0.00,100.00,0.00,892.00,0.00,0.00,0.00,0.00,0.00,0.00
