id,name,serves,ingredients,instructions,meal_type,is_vegetarian,protein,carbs,fat,fiber,energy,iron_mg,magnesium_mg,calcium_mg,potassium_mg,sodium_mg,vitamin_c_mg
1,Protein Smoothie Bowl,1,"[{""id"": 12, ""name"": ""banana"", ""quantity"": 130.0, ""serving_unit"": ""g""}, {""id"": 21, ""name"": ""blueberries"", ""quantity"": 70.0, ""serving_unit"": ""g""}, {""id"": 70, ""name"": ""flax seed powder"", ""quantity"": 1.0, ""serving_unit"": ""tbsp""}, {""id"": 110, ""name"": ""milk"", ""quantity"": 100.0, ""serving_unit"": ""ml""}, {""id"": 118, ""name"": ""oats"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 132, ""name"": ""pineapple"", ""quantity"": 80.0, ""serving_unit"": ""g""}, {""id"": 138, ""name"": ""protein powder"", ""quantity"": 1.5, ""serving_unit"": ""cup""}]",Combine all ingredients.,breakfast,t,125.89,102.99,19.27,14.63,1062.10,4.22,325.90,778.10,1760.00,948.80,56.34
2,Moong Dal Chilla,2,"[{""id"": 30, ""name"": ""capsicum"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 32, ""name"": ""carrot"", ""quantity"": 0.5, ""serving_unit"": ""nos""}, {""id"": 59, ""name"": ""cumin whole jeera"", ""quantity"": 5.0, ""serving_unit"": ""g""}, {""id"": 75, ""name"": ""garlic"", ""quantity"": 2.0, ""serving_unit"": ""g""}, {""id"": 84, ""name"": ""green chillies"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 112, ""name"": ""moong dal"", ""quantity"": 200.0, ""serving_unit"": ""g""}]","Soak Moon Dal overnight. Blend it with ginger, garlic and cumin seeds. Top it with veggies",breakfast,t,49.69,134.37,3.60,35.03,742.23,17.18,407.70,330.57,2808.42,62.04,76.61
3,Overnight Oats,1,"[{""id"": 118, ""name"": ""oats"", ""quantity"": 40, ""serving_unit"": ""g""}, {""id"": 15, ""name"": ""berries"", ""quantity"": 80, ""serving_unit"": ""g""}, {""id"": 42, ""name"": ""chia seeds"", ""quantity"": 15, ""serving_unit"": ""g""}, {""id"": 117, ""name"": ""nuts"", ""quantity"": 20, ""serving_unit"": ""g""}]","Combine oats, berries, chia seeds, and nuts. Refrigerate overnight. Serve with eggs.",breakfast,t,12.54,46.32,18.34,14.08,382.70,3.86,209.65,153.45,467.85,6.40,23.56
4,Veggie Omelette,1,"[{""id"": 28, ""name"": ""cabbage"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 32, ""name"": ""carrot"", ""quantity"": 50, ""serving_unit"": ""nos""}, {""id"": 30, ""name"": ""capsicum"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 113, ""name"": ""mushrooms"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 84, ""name"": ""green chillies"", ""quantity"": 50, ""serving_unit"": ""nos""}, {""id"": 16, ""name"": ""besan flour"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 14, ""name"": ""beans"", ""quantity"": 50, ""serving_unit"": ""g""}]",Whisk all ingredients. Toast it on pan. ,breakfast,t,53.19,371.15,9.40,100.20,1640.50,17.04,531.00,1098.00,11556.00,2166.00,839.55
5,Eggs / Paneer / Tofu Bhurji Sandwich ,1,"[{""id"": 121, ""name"": ""onion"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 178, ""name"": ""tomato"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 84, ""name"": ""green chillies"", ""quantity"": 50, ""serving_unit"": ""nos""}, {""id"": 77, ""name"": ""ginger"", ""quantity"": 50, ""serving_unit"": ""nos""}, {""id"": 104, ""name"": ""lettuce"", ""quantity"": 50, ""serving_unit"": ""g""}]","chop onion, tomato, green chillies, cumin powder and saute. Add scrambled eggs / paneer, ginger and cook.,
Use halloumi instead of paneer occasionally 
Top it on toast. Add lettuce if required.  ",breakfast,t,8.59,50.27,1.80,8.50,217.50,3.74,120.50,84.00,1580.00,41.50,617.55
7,Masala Omelette,1,"[{""id"": 164, ""name"": ""spices"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 176, ""name"": ""toast"", ""quantity"": 30, ""serving_unit"": ""g""}, {""id"": 165, ""name"": ""spinach"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 178, ""name"": ""tomato"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 192, ""name"": ""zucchini"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 120, ""name"": ""olives"", ""quantity"": 50, ""serving_unit"": ""g""}]",Beat eggs with spices. Cook omelette. Serve with toast ,breakfast,t,12.65,58.29,15.87,18.72,377.90,15.81,157.60,413.00,1419.40,1156.30,33.55
8,Sweet Quinoa Porridge,1,"[{""id"": 12, ""name"": ""banana"", ""quantity"": 120.0, ""serving_unit"": ""g""}, {""id"": 15, ""name"": ""berries"", ""quantity"": 80.0, ""serving_unit"": ""g""}, {""id"": 117, ""name"": ""nuts"", ""quantity"": 20.0, ""serving_unit"": ""g""}, {""id"": 140, ""name"": ""quinoa"", ""quantity"": 50.0, ""serving_unit"": ""g""}]","Cook quinoa into porridge. Top with nuts, banana, or berries.",breakfast,t,13.16,72.43,14.57,11.50,449.00,3.61,182.30,67.50,946.30,6.90,33.76
10,Chickpea Salad,1,"[{""id"": 45, ""name"": ""chickpeas"", ""quantity"": 100, ""serving_unit"": ""g""}, {""id"": 104, ""name"": ""lettuce"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 178, ""name"": ""tomato"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 39, ""name"": ""cheddar"", ""quantity"": 50, ""serving_unit"": ""nos""}, {""id"": 119, ""name"": ""olive oil"", ""quantity"": 50, ""serving_unit"": ""tbsp""}, {""id"": 101, ""name"": ""lemon juice"", ""quantity"": 50, ""serving_unit"": ""ml""}, {""id"": 56, ""name"": ""couscous"", ""quantity"": 50, ""serving_unit"": ""g""}]","Soak chickpeas overnight and pressure cook next day. Cook couscous by steaming it hot water. Add salad veggies and leaves, chickpeas. Dress it with lemon / balsamic vinegar / olive oil. ",dinner,t,367.03,95.84,1141.81,12.75,12000.50,6.22,480.50,10047.00,2090.50,8721.00,31.90
11,Quinoa Bowl with roasted veggies ,1,"[{""id"": 140, ""name"": ""quinoa"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 192, ""name"": ""zucchini"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 30, ""name"": ""capsicum"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 146, ""name"": ""red onion"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 6, ""name"": ""aubergine"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 45, ""name"": ""chickpeas"", ""quantity"": 100, ""serving_unit"": ""g""}, {""id"": 103, ""name"": ""lentils"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 125, ""name"": ""parsley"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 102, ""name"": ""lemon olive oil dressing"", ""quantity"": 2, ""serving_unit"": ""tbsp""}, {""id"": 86, ""name"": ""grilled chicken"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 122, ""name"": ""orange"", ""quantity"": 150, ""serving_unit"": ""g""}]","Have orange first. 
Cook all ingredients and mix - top with dressing ",lunch,f,40.91,102.44,26.61,24.00,788.00,11.15,247.00,249.50,1855.00,104.00,205.60
12,Mediterranean Stir-fry,1,"[{""id"": 165, ""name"": ""spinach"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 45, ""name"": ""chickpeas"", ""quantity"": 100, ""serving_unit"": ""g""}, {""id"": 67, ""name"": ""feta"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 43, ""name"": ""chicken"", ""quantity"": 50, ""serving_unit"": ""g""}]","Stir-fry peppers, onions, spinach, and tomatoes. Add chickpeas and feta or chicken.",lunch,f,32.91,31.17,15.24,8.70,390.50,5.04,111.50,352.50,729.00,542.00,14.05
