id,name,shelf_life,available,last_available,serving_unit,serving_size,protein,carbs,fat,fiber,energy
1,Plantain,4,t,2025-07-07 18:02:07.50056,nos,1,0,0,0,0,0
2,paneer,60,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
3,almonds,365,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
4,frozen fruits,90,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
5,spinach,2,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
6,orange,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
7,toast,7,f,2025-07-07 12:44:02.098519,nos,100,0,0,0,0,0
8,moong dal batter,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
9,apple,14,f,2025-07-07 12:44:02.098519,nos,100,0.3,14,0.2,2.4,52
10,chia seeds,1095,f,2025-07-07 12:44:02.098519,g,100,17,42,31,34,486
11,nuts,365,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
12,oats,2190,f,2025-07-07 12:44:02.098519,g,100,13,68,6.5,10,379
13,mushrooms,7,f,2025-07-07 12:44:02.098519,g,100,2.5,3,0.4,3,25
14,kale,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
15,cashews,365,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
16,chili powder,1095,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
17,quinoa,1095,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
18,feta cheese,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
19,tomato sauce,14,f,2025-07-07 12:44:02.098519,ml,100,0,0,0,0,0
20,chickpeas,365,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
21,olives,21,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
22,black peppers,365,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
23,black beans,4,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
24,avocado,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
25,fruit,5,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
26,halloumi,14,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
27,couscous,4,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
28,tuna,4,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
29,pasta,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
30,pear,42,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
31,melon slices,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
32,tzatziki,14,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
33,hummus,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
34,lamb,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
35,tabbouleh,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
36,falafel,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
37,curry base,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
38,brown rice,5,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
39,chana masala,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
40,salad,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
41,turkey sausage,4,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
42,lamb meatballs,4,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
43,broccoli,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
44,cucumber yogurt salad,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
45,kebabs,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
46,green beans,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
47,lentils,5,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
48,watermelon,14,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
49,rice,5,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
50,curry spices,1095,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
51,cucumber salad,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
52,naan,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
53,vegetable sabzi,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
54,walnuts,365,f,2025-07-07 12:44:02.098519,g,100,15,14,65,6.7,654
55,grapes,14,f,2025-07-07 12:44:02.098519,g,100,0.72,18.1,0.16,0.9,69
56,cucumber sticks,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
57,melon,14,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
58,cottage cheese,7,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
