id,day,meal_type,recipe_ids
1,Sunday,pre-breakfast,{}
2,Sunday,breakfast,{}
3,Sunday,lunch,{}
4,Sunday,snack,{}
5,Sunday,dinner,{}
6,Monday,pre-breakfast,{}
7,Monday,breakfast,{}
8,Monday,lunch,{}
9,Monday,snack,{}
10,Monday,dinner,{}
11,Tuesday,pre-breakfast,{}
12,Tuesday,breakfast,{}
13,Tuesday,lunch,{}
14,Tuesday,snack,{}
15,Tuesday,dinner,{}
16,Wednesday,pre-breakfast,{}
17,Wednesday,breakfast,{}
18,Wednesday,lunch,{}
19,Wednesday,snack,{}
20,Wednesday,dinner,{}
21,Thursday,pre-breakfast,{}
22,Thursday,breakfast,{}
23,Thursday,lunch,{}
24,Thursday,snack,{}
25,Thursday,dinner,{}
26,Friday,pre-breakfast,{}
27,Friday,breakfast,{}
28,Friday,lunch,{}
29,Friday,snack,{}
30,Friday,dinner,{}
31,Saturday,pre-breakfast,{}
32,Saturday,breakfast,{}
33,Saturday,lunch,{}
34,Saturday,snack,{}
35,Saturday,dinner,{}
