id,day,meal_type,recipe_ids
1,Sunday,pre_breakfast,{}
2,Sunday,breakfast,{}
3,Sunday,lunch,{}
4,Sunday,snack,{}
5,Sunday,dinner,{}
6,Monday,pre_breakfast,{64}
7,Monday,breakfast,{3}
8,Monday,lunch,{24}
9,Monday,snack,{}
10,Monday,dinner,{16}
11,Tuesday,pre_breakfast,{64}
12,Tuesday,breakfast,{68}
13,Tuesday,lunch,{65}
14,Tuesday,snack,{}
15,Tuesday,dinner,{74}
16,Wednesday,pre_breakfast,{64}
17,Wednesday,breakfast,{92}
18,Wednesday,lunch,{91}
19,Wednesday,snack,{}
20,Wednesday,dinner,{88}
21,Thursday,pre_breakfast,{54}
22,Thursday,breakfast,{72}
23,Thursday,lunch,{13}
24,Thursday,snack,{}
25,Thursday,dinner,{50}
26,Friday,pre_breakfast,{}
27,Friday,breakfast,{49}
28,Friday,lunch,{25}
29,Friday,snack,{}
30,Friday,dinner,{}
31,Saturday,pre_breakfast,{}
32,Saturday,breakfast,{}
33,Saturday,lunch,{}
34,Saturday,snack,{96}
35,Saturday,dinner,{}
